City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,40,14.97,light rain
288,Reftinskiy,RU,57.0901,61.6769,58.42,76,100,4.88,overcast clouds
289,Egvekinot,RU,66.3167,-179.1667,41.38,90,99,6.62,overcast clouds
290,Alappuzha,IN,9.49,76.3264,77.0,83,98,14.76,overcast clouds
291,Cavalcante,BR,-13.7975,-47.4583,68.95,46,45,5.26,scattered clouds
292,Killam,CA,52.7834,-111.8518,55.35,100,100,5.75,overcast clouds
293,Alofi,NU,-19.0595,-169.9187,78.69,83,16,11.5,few clouds
294,Vao,NC,-22.6667,167.4833,73.06,79,93,16.13,overcast clouds
295,Tamiahua,MX,21.2667,-97.45,84.6,77,12,14.27,few clouds
296,Sept-Iles,CA,50.2001,-66.3821,59.52,95,100,3.44,fog
297,Muros,ES,42.7762,-9.0603,65.08,80,11,13.73,few clouds
298,Merauke,ID,-8.4667,140.3333,79.92,86,99,11.07,overcast clouds
299,Jiwani,PK,25.05,61.7417,83.98,82,95,9.33,overcast clouds
300,Tres Arroyos,AR,-38.3739,-60.2798,40.12,44,1,8.5,clear sky
301,Clarence Town,AU,-32.5833,151.7833,62.85,96,91,3.96,light rain
302,Imeni Poliny Osipenko,RU,52.4201,136.4853,76.06,76,99,1.39,overcast clouds
303,Saint-Pierre,RE,-21.3393,55.4781,67.68,77,40,19.57,scattered clouds
304,Bonfim,BR,3.0833,-59.95,77.36,83,77,4.21,broken clouds
305,Katobu,ID,-4.9408,122.5276,79.43,88,46,5.23,scattered clouds
306,Tezu,IN,27.9167,96.1667,78.82,81,54,2.51,broken clouds
307,Arman,RU,59.7,150.1667,70.02,43,46,16.35,scattered clouds
308,Taksimo,RU,56.3444,114.8794,75.22,68,21,3.62,few clouds
309,Nuuk,GL,64.1835,-51.7216,44.82,80,62,6.98,broken clouds
310,Saint Anthony,US,45.0205,-93.218,79.86,57,0,5.75,clear sky
311,Oak Lawn,US,41.7109,-87.7581,83.1,42,75,10.36,broken clouds
312,Marabba,SD,12.35,32.1833,84.49,51,94,10.51,overcast clouds
313,Bilibino,RU,68.0546,166.4372,48.72,81,99,4.05,overcast clouds
